,invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Percentage of sales per store
0,S30192200003,2016-01-13 00:00:00,3772,Shop N Save #1 / Mlk Pkwy,2127 M L KING JR PKWY,DES MOINES,50314.0,,77,Polk,1051140,PEACH BRANDIES,115,"Constellation Wine Company, Inc.",56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,24,70.56,4.8,1.27,0.1151695764286267
1,S30234800064,2016-01-15 00:00:00,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT (-93.613739 41.60572),77,Polk,1081400,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85,0.35549792724142426
2,S30348700047,2016-01-25 00:00:00,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761.0,POINT (-91.06411300000002 41.408437),70,Muscatine,1081330,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,4,45.72,4.0,1.06,0.07462518472671219
3,S30390600011,2016-01-26 00:00:00,2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501.0,POINT (-95.855054 41.261673),78,Pottawattamie,1081380,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,81124,99 Peppermint Mini,10,600,5.94,8.91,2,17.82,1.2,0.32,0.02908619404702562
4,S30466200002,2016-02-01 00:00:00,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320.0,POINT (-93.596754 41.554101),77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,55,Sazerac North America,973627,Di Amore Quattro Orange,12,1000,9.75,14.63,120,1755.6,120.0,31.7,2.8655287468551163
5,S30506300012,2016-02-02 00:00:00,2562,Hy-Vee Food Store / Fort Dodge,115 SOUTH 29TH ST,FORT DODGE,50501.0,POINT (-94.15824700000002 42.504742),94,Webster,1031100,100 PROOF VODKA,301,Fifth Generation Inc.,38176,Titos Vodka,12,750,9.65,14.48,108,1563.84,81.0,21.4,2.5525338775813995
6,S30519600038,2016-02-02 00:00:00,3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246.0,,60,Lyon,1081350,SPEARMINT SCHNAPPS,434,Luxco-St Louis,82187,Arrow Spearmint Schnapps,12,1000,5.0,7.5,5,37.5,5.0,1.32,0.061208320806030336
7,S30560800002,2016-02-03 00:00:00,4057,Tequila's Liquor Store,1434 DES MOINES ST STE 5,DES MOINES,50316.0,POINT (-93.59704 41.594713),77,Polk,1052100,,420,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,48,413.28,9.6,2.54,0.6745646619390991
8,S30557300014,2016-02-04 00:00:00,5113,"Ray's Supermarket, Inc.",1975 FRANKLIN ST,WATERLOO,50703.0,POINT (-92.315215 42.495394),7,Black Hawk,1052100,,420,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27,0.33728233096954957
9,S30590700029,2016-02-08 00:00:00,5204,Quik Stop  /  Burlington,1812 OSBORN ST,BURLINGTON,52601.0,POINT (-91.112658 40.826163),29,Des Moines,1031100,100 PROOF VODKA,297,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.7,48,81.6,9.6,2.54,0.13318930607392201
